,shares
0,1100
1,4900
2,919
3,1500
4,527
5,6200
6,975
7,1200
8,536
9,7900
10,622
11,820
12,1400
13,484
14,728
15,832
16,1700
17,3800
18,407
19,2200
20,1300
21,3100
22,4700
23,642
24,5300
25,848
26,2600
27,1300
28,3300
29,2500
30,5900
31,1100
32,5000
33,1200
34,8100
35,154
36,1500
37,6500
38,8800
39,804
40,797
41,928
42,1100
43,3600
44,1300
45,1600
46,1200
47,668
48,994
49,17300
50,1400
51,2600
52,798
53,908
54,1900
55,1100
56,955
57,444
58,1300
59,960
60,1400
61,3800
62,4900
63,982
64,885
65,3200
66,1500
67,41600
68,1900
69,2100
70,807
71,467
72,233
73,3800
74,2800
75,1000
76,1200
77,961
78,1400
79,1200
80,498
81,1200
82,556
83,2900
84,1100
85,810
86,873
87,1400
88,936
89,600
90,3600
91,945
92,1500
93,1000
94,3600
95,11000
96,1400
97,1600
98,856
99,859
100,1500
101,922
102,967
103,4900
104,918
105,1500
106,10200
107,1200
108,1100
109,5200
110,827
111,10100
112,519
113,6300
114,1200
115,2500
116,945
117,940
118,3500
119,1600
120,1800
121,943
122,1200
123,15700
124,620
125,1000
126,1200
127,3400
128,899
129,881
130,905
131,720
132,422
133,1600
134,2700
135,1200
136,1100
137,318
138,633
139,475
140,1600
141,1500
142,16600
143,264
144,2000
145,2200
146,221
147,2100
148,3400
149,1400
150,2200
151,3400
152,6700
153,6600
154,2000
155,2300
156,2600
157,42500
158,2600
159,1600
160,920
161,3200
162,1900
163,3600
164,883
165,26600
166,1700
167,893
168,1200
169,964
170,17300
171,13100
172,1200
173,685
174,4000
175,498
176,16100
177,2400
178,778
179,526
180,5100
181,2600
182,757
183,1100
184,2600
185,1600
186,1700
187,1300
188,4000
189,3200
190,775
191,3800
192,1100
193,1900
194,930
195,1700
196,2500
197,585
198,1200
199,2800
200,1100
201,1200
202,696
203,1600
204,3000
205,2100
206,1100
207,1400
208,1800
209,900
210,3400
211,1300
212,1200
213,1200
214,3900
215,1300
216,1600
217,4300
218,5400
219,447
220,3100
221,1600
222,532
223,859
224,3800
225,1400
226,932
227,2200
228,972
229,1700
230,954
231,1800
232,1400
233,4700
234,25500
235,7100
236,7300
237,1100
238,2800
239,983
240,1200
241,3600
242,1400
243,5500
244,1200
245,1900
246,958
247,1700
248,1100
249,859
250,2700
251,3200
252,16300
253,1200
254,25000
255,3200
256,410
257,4400
258,1400
259,11400
260,2400
261,7900
262,3300
263,7300
264,774
265,2300
266,1700
267,4900
268,1600
269,707
270,2000
271,1600
272,1600
273,1100
274,1900
275,1700
276,847
277,1300
278,762
279,1500
280,766
281,10300
282,5000
283,2900
284,713
285,830
286,1300
287,800
288,2200
289,1200
290,1300
291,8900
292,863
293,2800
294,3200
295,948
296,3200
297,856
298,2500
299,559
300,1100
301,780
302,1200
303,2200
304,944
305,729
306,10600
307,11200
308,1300
309,3000
310,1400
311,1600
312,865
313,10400
314,8700
315,838
316,1000
317,1900
318,3800
319,826
320,32500
321,21700
322,726
323,1300
324,5100
325,21800
326,1100
327,1700
328,625
329,1200
330,906
331,2300
332,550
333,4200
334,8700
335,1700
336,754
337,944
338,2400
339,6100
340,3400
341,3400
342,619
343,1000
344,4100
345,300
346,2700
347,9800
348,2200
349,562
350,14900
351,806
352,4500
353,736
354,707
355,5200
356,3800
357,509
358,4700
359,1600
360,5800
361,2200
362,1000
363,513
364,2900
365,3100
366,3200
367,5500
368,890
369,1200
370,959
371,1900
372,2000
373,851
374,1300
375,1300
376,1300
377,1400
378,853
379,4500
380,991
381,1700
382,5100
383,936
384,2000
385,1600
386,1600
387,522
388,726
389,2700
390,1800
391,6600
392,1600
393,2900
394,3400
395,758
396,1000
397,6700
398,1800
399,792
400,889
401,7800
402,178
403,1200
404,1100
405,399
406,1600
407,1300
408,1600
409,664
410,2300
411,1400
412,5500
413,3800
414,1100
415,826
416,2000
417,2500
418,1200
419,1000
420,556
421,773
422,3600
423,112
424,987
425,961
426,1700
427,875
428,725
429,6600
430,1100
431,1900
432,3200
433,556
434,1900
435,4400
436,770
437,1300
438,11800
439,3200
440,6200
441,764
442,1200
443,12700
444,1400
445,1400
446,476
447,660
448,708
449,4400
450,4200
451,3300
452,746
453,524
454,908
455,1400
456,689
457,1400
458,17200
459,703
460,4400
461,1000
462,1400
463,1300
464,2000
465,2000
466,762
467,783
468,2000
469,1700
470,1300
471,123
472,2200
473,1400
474,4100
475,1200
476,645
477,1900
478,798
479,9700
480,1100
481,3800
482,2200
483,1300
484,3300
485,881
486,1200
487,417
488,750
489,1900
490,529
491,1800
492,2300
493,1600
494,14700
495,752
496,1300
497,786
498,10400
499,955
500,1500
501,4000
502,1400
503,918
504,533
505,609
506,1300
507,1200
508,989
509,1800
510,1900
511,1600
512,540
513,839
514,774
515,928
516,2000
517,3200
518,707
519,1400
520,676
521,1700
522,1000
523,3700
524,137
525,1400
526,3500
527,737
528,12900
529,3200
530,13700
531,518
532,2200
533,877
534,53200
535,1200
536,935
537,4300
538,698
539,1900
540,1200
541,2800
542,14000
543,762
544,1800
545,3000
546,441
547,4600
548,5000
549,2500
550,5200
551,1200
552,5000
553,5100
554,2100
555,1000
556,1600
557,1400
558,1800
559,718
560,815
561,2700
562,1000
563,2900
564,815
565,2100
566,6100
567,1900
568,970
569,5500
570,1000
571,703
572,778
573,1400
574,10100
575,4600
576,1400
577,516
578,1200
579,896
580,1500
581,957
582,1400
583,1500
584,1500
585,3800
586,444
587,770
588,1100
589,846
590,1000
591,1600
592,3500
593,3100
594,1000
595,1500
596,1900
597,1200
598,867
599,13200
600,863
601,535
602,679
603,1600
604,6200
605,2100
606,1500
607,885
608,7000
609,42300
610,1500
611,54
612,1200
613,1500
614,2100
615,945
616,1200
617,1400
618,1200
619,1400
620,1300
621,2300
622,807
623,960
624,1400
625,1100
626,1500
627,1500
628,1400
629,2800
630,813
631,1800
632,1700
633,660
634,1100
635,2800
636,1400
637,1100
638,1200
639,23000
640,631
641,1400
642,921
643,755
644,3100
645,460
646,1000
647,448
648,3600
649,3800
650,476
651,818
652,5400
653,29300
654,1400
655,1100
656,2700
657,1300
658,644
659,1900
660,3800
661,876
662,717
663,594
